
 Data Alignment: None
 Data Alignment Step: 0
C:\Users\Labuser\Documents\Octet experiments\2020\20200514 - AMC PCT media run3 kinetics 47-54, 200514_001.frd, 200514_002.frd, 200514_003.frd, 200514_004.frd, 200514_005.frd, 200514_006.frd, 200514_007.frd, 200514_008.frd, 200514_009.frd, 200514_010.frd, 200514_011.frd, 200514_012.frd, 200514_013.frd, 200514_014.frd, 200514_015.frd, 200514_016.frd, 
X Values, A2, B2, C2, D2, E2, F2, G2, H2, A3, B3, C3, D3, E3, F3, G3, H3, 
0.00, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
17.80, -0.00345863, -0.00306482, 0.00212643, 0.00772127, -0.00420474, -0.00693079, -0.00387237, -0.00473877, -0.01324917, -0.0033091, -0.00621826, -0.00851261, -0.00994895, -0.00679343, -0.00265248, 0.001177, 
18.00, -0.00345788, -0.00128774, 0.00240859, 0.00515, -0.0015269, -0.00726365, -0.00362193, -0.00355151, -0.01527427, -0.00832789, -0.00745336, -0.00992668, -0.01077623, -0.00826875, -0.00087744, -0.00298109, 
18.20, -0.00377029, 0.00192966, 0.00126867, 0.00407838, -0.0073722, -0.0055006, -0.00190834, -0.0063633, -0.01632005, -0.01130169, -0.00748222, -0.01158144, -0.00723799, -0.00992882, -0.00013703, 0.00175009, 
18.40, -0.00618283, 0.00303607, 0.00221051, 0.00745438, -0.00829009, -0.00662749, 0.00002894, -0.00528924, -0.01772629, -0.0031762, -0.0100593, -0.00560125, -0.00807396, -0.0122848, -0.0032717, 0.00155469, 
18.61, -0.00849671, 0.00274424, 0.00306792, 0.00488222, -0.00637694, -0.00412015, -0.00250908, -0.00498072, -0.01534187, -0.00690605, -0.00759898, -0.01092182, -0.0072392, -0.0100571, -0.00279863, 0.00103479, 
18.81, -0.00470054, 0.00216392, -0.00099637, 0.00516955, -0.01115208, -0.00702929, -0.00159849, -0.00752104, -0.01649655, -0.00536349, -0.00683357, -0.00424319, -0.0105306, -0.01481007, 0.00165022, -0.00035594, 
19.01, -0.00477115, -0.00171084, 0.00120967, 0.00948659, -0.00434561, -0.00691063, -0.00106041, -0.00545173, -0.01507938, -0.00490379, -0.00721725, -0.00872511, -0.00945861, -0.01330236, 0.00025712, 0.00044888, 
19.20, -0.00555042, 0.00145586, 0.00455879, 0.01015616, -0.00461984, -0.00336342, -0.00150529, -0.00555209, -0.01548742, -0.00345994, -0.01155929, -0.00533996, -0.00746311, -0.01120948, 0.00124823, 0.00272687, 
19.40, -0.00484463, -0.0001321, 0.00162189, 0.00540418, -0.00482196, -0.006334, -0.00243677, -0.00546813, -0.01296133, -0.00340335, -0.01052921, -0.00614743, -0.00819545, -0.01264972, 0.00203132, 0.00299369, 
19.60, -0.00867664, 0.00179013, 0.00110848, 0.00927537, -0.00844032, -0.00899463, -0.0025162, -0.00520742, -0.01751246, -0.00569283, -0.0107795, -0.00415932, -0.01009905, -0.01081553, -0.00195266, -0.00093257, 
19.81, -0.00877688, 0.00448482, 0.00210662, 0.00895095, -0.00727338, -0.0062172, -0.00339844, -0.01294603, -0.01460474, -0.00507282, -0.01032526, -0.01105217, -0.00816486, -0.00790265, 0.00233231, -0.00094983, 
20.01, -0.00738437, 0.00045389, -0.0002654, 0.00530964, -0.00752943, -0.00697333, 0.00061715, -0.00904164, -0.01695572, -0.00685056, -0.0079539, -0.01353186, -0.00799031, -0.01365385, 0.00037012, 0.00473259, 
20.20, -0.00259974, 0.00143633, 0.00152076, 0.00482041, -0.0074252, -0.00767441, -0.00611796, -0.01072947, -0.01000014, -0.00506982, -0.00842989, -0.0081561, -0.01055354, -0.01391101, -0.00165174, -0.00154671, 
20.40, -0.00347337, -0.00081242, 0.00030438, 0.0079388, -0.00627, -0.00321769, -0.00350771, -0.00773785, -0.01706058, -0.00704822, -0.0110685, -0.00844461, -0.00611183, -0.01208386, -0.00218445, 0.0039493, 
